state,scenario,analysis,emissions,MismatchMult
AL,Low Everything 95 by 2050,v6.2jedi_mid,95% by 2050,0.6709118606945685
AL,Low Everything 95 by 2050,v6.2nei_high,95% by 2050,0.6503655445054679
AL,Low Everything 95 by 2050,v6.2nei_low,95% by 2050,0.7278034532016704
AL,Low Everything 95 by 2050,v6.2nei_mid,95% by 2050,0.6624445880386496
AL,Low NG Price,v6.2jedi_high,NNP,0.622821045003387
AL,Low NG Price,v6.2jedi_low,NNP,0.622821045003387
AL,Low NG Price,v6.2jedi_mid,NNP,0.622821045003387
AL,Low NG Price,v6.2nei_high,NNP,0.6218551575575372
AL,Low NG Price,v6.2nei_low,NNP,0.621855157557537
AL,Low NG Price,v6.2nei_mid,NNP,0.621855157557537
AL,Low NG Price 95 by 2035,v6.2jedi_high,95% by 2035,0.6709778050133581
AL,Low NG Price 95 by 2035,v6.2jedi_low,95% by 2035,0.6722784146218416
AL,Low NG Price 95 by 2035,v6.2jedi_mid,95% by 2035,0.6712139666239847
AL,Low NG Price 95 by 2035,v6.2nei_high,95% by 2035,0.6621721785117772
AL,Low NG Price 95 by 2035,v6.2nei_low,95% by 2035,0.6632543958597987
AL,Low NG Price 95 by 2035,v6.2nei_mid,95% by 2035,0.6623686849732777
AL,Low NG Price 95 by 2050,v6.2jedi_high,95% by 2050,0.514434165766211
AL,Low NG Price 95 by 2050,v6.2jedi_low,95% by 2050,0.5158106166184844
AL,Low NG Price 95 by 2050,v6.2jedi_mid,95% by 2050,0.5146514374529543
AL,Low NG Price 95 by 2050,v6.2nei_high,95% by 2050,0.531826267316809
AL,Low NG Price 95 by 2050,v6.2nei_low,95% by 2050,0.5329715910029589
AL,Low NG Price 95 by 2050,v6.2nei_mid,95% by 2050,0.5320070557617764
AL,Low Nuclear CCS Cost,v6.2jedi_high,NNP,0.45967071514243246
AL,Low Nuclear CCS Cost,v6.2jedi_low,NNP,0.45967071514243246
AL,Low Nuclear CCS Cost,v6.2jedi_mid,NNP,0.45967071514243246
AL,Low Nuclear CCS Cost,v6.2nei_high,NNP,0.4874105758199958
AL,Low Nuclear CCS Cost,v6.2nei_low,NNP,0.4874105758199958
AL,Low Nuclear CCS Cost,v6.2nei_mid,NNP,0.4874105758199958
AL,Low Nuclear CCS Cost 95 by 2035,v6.2jedi_high,95% by 2035,0.754155174046137
AL,Low Nuclear CCS Cost 95 by 2035,v6.2jedi_low,95% by 2035,0.7549259052518547
AL,Low Nuclear CCS Cost 95 by 2035,v6.2jedi_mid,95% by 2035,0.7543407538190444
AL,Low Nuclear CCS Cost 95 by 2035,v6.2nei_high,95% by 2035,0.7300071014772411
AL,Low Nuclear CCS Cost 95 by 2035,v6.2nei_low,95% by 2035,0.7306419989195709
AL,Low Nuclear CCS Cost 95 by 2035,v6.2nei_mid,95% by 2035,0.7301599746479294
AL,Low Nuclear CCS Cost 95 by 2050,v6.2jedi_high,95% by 2050,0.5909791824468376
AL,Low Nuclear CCS Cost 95 by 2050,v6.2jedi_low,95% by 2050,0.5924384741483847
AL,Low Nuclear CCS Cost 95 by 2050,v6.2jedi_mid,95% by 2050,0.5912095304966223
AL,Low Nuclear CCS Cost 95 by 2050,v6.2nei_high,95% by 2050,0.5956893465756121
AL,Low Nuclear CCS Cost 95 by 2050,v6.2nei_low,95% by 2050,0.5968914525264954
AL,Low Nuclear CCS Cost 95 by 2050,v6.2nei_mid,95% by 2050,0.5958790980565031
AL,Low RE Cost,v6.2jedi_high,NNP,0.5816606548568776
AL,Low RE Cost,v6.2jedi_low,NNP,0.6091908065889142
AL,Low RE Cost,v6.2jedi_mid,NNP,0.585828581004623
AL,Low RE Cost,v6.2nei_high,NNP,0.5879065254764102
AL,Low RE Cost,v6.2nei_low,NNP,0.6105804586219143
AL,Low RE Cost,v6.2nei_mid,NNP,0.5913392446407509
AL,Low RE Cost 95 by 2035,v6.2jedi_high,95% by 2035,0.5684727135160572
AL,Low RE Cost 95 by 2035,v6.2jedi_low,95% by 2035,0.6106866834765184
AL,Low RE Cost 95 by 2035,v6.2jedi_mid,95% by 2035,0.5764132508083136
AL,Low RE Cost 95 by 2035,v6.2nei_high,95% by 2035,0.5798849515322949
AL,Low RE Cost 95 by 2035,v6.2nei_low,95% by 2035,0.6146525308034241
AL,Low RE Cost 95 by 2035,v6.2nei_mid,95% by 2035,0.5864248069408826
AL,Low RE Cost 95 by 2050,v6.2jedi_high,95% by 2050,0.4981298545329952
AL,Low RE Cost 95 by 2050,v6.2jedi_low,95% by 2050,0.5102514840350245
AL,Low RE Cost 95 by 2050,v6.2jedi_mid,95% by 2050,0.49986895330230985
AL,Low RE Cost 95 by 2050,v6.2nei_high,95% by 2050,0.5191522262384107
AL,Low RE Cost 95 by 2050,v6.2nei_low,95% by 2050,0.5291356444054726
AL,Low RE Cost 95 by 2050,v6.2nei_mid,95% by 2050,0.5205845543131953
AL,Low Trans,v6.2jedi_high,NNP,0.5176875532151405
AL,Low Trans,v6.2jedi_low,NNP,0.5373902765858518
AL,Low Trans,v6.2jedi_mid,NNP,0.5205135440808075
AL,Low Trans,v6.2nei_high,NNP,0.5352762545694421
AL,Low Trans,v6.2nei_low,NNP,0.5514919491916237
AL,Low Trans,v6.2nei_mid,NNP,0.5376020957245206
AL,Low Trans 95 by 2035,v6.2jedi_high,95% by 2035,0.42756618883410413
AL,Low Trans 95 by 2035,v6.2jedi_low,95% by 2035,0.4304524482783444
AL,Low Trans 95 by 2035,v6.2jedi_mid,95% by 2035,0.4284164708692642
AL,Low Trans 95 by 2035,v6.2nei_high,95% by 2035,0.46110475572428145
AL,Low Trans 95 by 2035,v6.2nei_low,95% by 2035,0.46348019900019727
AL,Low Trans 95 by 2035,v6.2nei_mid,95% by 2035,0.46180455308556256
AL,Low Trans 95 by 2050,v6.2jedi_high,95% by 2050,0.4207845823633938
AL,Low Trans 95 by 2050,v6.2jedi_low,95% by 2050,0.4350798969732886
AL,Low Trans 95 by 2050,v6.2jedi_mid,95% by 2050,0.42420333626744033
AL,Low Trans 95 by 2050,v6.2nei_high,95% by 2050,0.45552337199839926
AL,Low Trans 95 by 2050,v6.2nei_low,95% by 2050,0.4672886722505794
AL,Low Trans 95 by 2050,v6.2nei_mid,95% by 2050,0.4583370677628548
AL,Mid Case,v6.2jedi_high,NNP,0.5068576106146463
AL,Mid Case,v6.2jedi_low,NNP,0.5068576106146463
AL,Mid Case,v6.2jedi_mid,NNP,0.5068576106146463
AL,Mid Case,v6.2nei_high,NNP,0.5262812469755527
AL,Mid Case,v6.2nei_low,NNP,0.5262812469755526
AL,Mid Case,v6.2nei_mid,NNP,0.5262812469755526
AL,Mid Case 95 by 2035,v6.2jedi_high,95% by 2035,0.795734202784189
AL,Mid Case 95 by 2035,v6.2jedi_low,95% by 2035,0.8181750737224213
AL,Mid Case 95 by 2035,v6.2jedi_mid,95% by 2035,0.7997161615387649
AL,Mid Case 95 by 2035,v6.2nei_high,95% by 2035,0.7656471633329068
AL,Mid Case 95 by 2035,v6.2nei_low,95% by 2035,0.7841330523907697
AL,Mid Case 95 by 2035,v6.2nei_mid,95% by 2035,0.7689273411821841
AL,Mid Case 95 by 2050,v6.2jedi_high,95% by 2050,0.584068040803205
AL,Mid Case 95 by 2050,v6.2jedi_low,95% by 2050,0.5854043825636892
AL,Mid Case 95 by 2050,v6.2jedi_mid,95% by 2050,0.5843116864217379
AL,Mid Case 95 by 2050,v6.2nei_high,95% by 2050,0.5900861085674801
AL,Mid Case 95 by 2050,v6.2nei_low,95% by 2050,0.5911869332901789
AL,Mid Case 95 by 2050,v6.2nei_mid,95% by 2050,0.5902868140519522
AL,Mid Case Base Flex,v6.2jedi_high,NNP,0.4485230131905718
AL,Mid Case Base Flex,v6.2jedi_low,NNP,0.4485230131905718
AL,Mid Case Base Flex,v6.2jedi_mid,NNP,0.4485230131905718
AL,Mid Case Base Flex,v6.2nei_high,NNP,0.47820989325249813
AL,Mid Case Base Flex,v6.2nei_low,NNP,0.47820989325249813
AL,Mid Case Base Flex,v6.2nei_mid,NNP,0.47820989325249813
AL,Mid Case Base Flex 95 by 2035,v6.2jedi_high,95% by 2035,0.6895352105512855
AL,Mid Case Base Flex 95 by 2035,v6.2jedi_low,95% by 2035,0.7120985907668408
AL,Mid Case Base Flex 95 by 2035,v6.2jedi_mid,95% by 2035,0.693098230996204
AL,Mid Case Base Flex 95 by 2035,v6.2nei_high,95% by 2035,0.6786494462817513
AL,Mid Case Base Flex 95 by 2035,v6.2nei_low,95% by 2035,0.6972395399682462
AL,Mid Case Base Flex 95 by 2035,v6.2nei_mid,95% by 2035,0.6815850385221488
AL,Mid Case Base Flex 95 by 2050,v6.2jedi_high,95% by 2050,0.5958531513298879
AL,Mid Case Base Flex 95 by 2050,v6.2jedi_low,95% by 2050,0.6139790198241633
AL,Mid Case Base Flex 95 by 2050,v6.2jedi_mid,95% by 2050,0.5985880330613518
AL,Mid Case Base Flex 95 by 2050,v6.2nei_high,95% by 2050,0.6002659587449809
AL,Mid Case Base Flex 95 by 2050,v6.2nei_low,95% by 2050,0.6151999619944305
AL,Mid Case Base Flex 95 by 2050,v6.2nei_mid,95% by 2050,0.6025192429215401
AL,PTC ITC Ext,v6.2jedi_high,NNP,0.7861864208771677
AL,PTC ITC Ext,v6.2jedi_low,NNP,0.78653507034951
AL,PTC ITC Ext,v6.2jedi_mid,NNP,0.7862890646696359
AL,PTC ITC Ext,v6.2nei_high,NNP,0.7563637065545443
AL,PTC ITC Ext,v6.2nei_low,NNP,0.7566508741157384
AL,PTC ITC Ext,v6.2nei_mid,NNP,0.7564482498276397
AL,PTC ITC Ext 95 by 2035,v6.2jedi_high,95% by 2035,0.5412630868190929
AL,PTC ITC Ext 95 by 2035,v6.2jedi_low,95% by 2035,0.560519925496304
AL,PTC ITC Ext 95 by 2035,v6.2jedi_mid,95% by 2035,0.5449589624005572
AL,PTC ITC Ext 95 by 2035,v6.2nei_high,95% by 2035,0.5549233368689621
AL,PTC ITC Ext 95 by 2035,v6.2nei_low,95% by 2035,0.5707843658907268
AL,PTC ITC Ext 95 by 2035,v6.2nei_mid,95% by 2035,0.557967470479938
AL,PTC ITC Ext 95 by 2050,v6.2jedi_high,95% by 2050,0.6367751774796849
AL,PTC ITC Ext 95 by 2050,v6.2jedi_low,95% by 2050,0.6730362074304487
AL,PTC ITC Ext 95 by 2050,v6.2jedi_mid,95% by 2050,0.642043178425646
AL,PTC ITC Ext 95 by 2050,v6.2nei_high,95% by 2050,0.6334754048203387
AL,PTC ITC Ext 95 by 2050,v6.2nei_low,95% by 2050,0.663342054172746
AL,PTC ITC Ext 95 by 2050,v6.2nei_mid,95% by 2050,0.6378144304148897
AL,Reduced RE Resource,v6.2jedi_high,NNP,0.4291488379207632
AL,Reduced RE Resource,v6.2jedi_low,NNP,0.4291488379207632
AL,Reduced RE Resource,v6.2jedi_mid,NNP,0.4291488379207632
AL,Reduced RE Resource,v6.2nei_high,NNP,0.4623441108542747
AL,Reduced RE Resource,v6.2nei_low,NNP,0.4623441108542747
AL,Reduced RE Resource,v6.2nei_mid,NNP,0.4623441108542747
AL,Reduced RE Resource 95 by 2035,v6.2jedi_high,95% by 2035,0.4765503876584317
AL,Reduced RE Resource 95 by 2035,v6.2jedi_low,95% by 2035,0.4939829379915422
AL,Reduced RE Resource 95 by 2035,v6.2jedi_mid,95% by 2035,0.4792901370220382
AL,Reduced RE Resource 95 by 2035,v6.2nei_high,95% by 2035,0.5016333180263227
AL,Reduced RE Resource 95 by 2035,v6.2nei_low,95% by 2035,0.5159864817240049
AL,Reduced RE Resource 95 by 2035,v6.2nei_mid,95% by 2035,0.5038891021976022
AL,Reduced RE Resource 95 by 2050,v6.2jedi_high,95% by 2050,0.6228609037192515
AL,Reduced RE Resource 95 by 2050,v6.2jedi_low,95% by 2050,0.6297705183827929
AL,Reduced RE Resource 95 by 2050,v6.2jedi_mid,95% by 2050,0.623988252425762
AL,Reduced RE Resource 95 by 2050,v6.2nei_high,95% by 2050,0.6227140526057556
AL,Reduced RE Resource 95 by 2050,v6.2nei_low,95% by 2050,0.6284031129244483
AL,Reduced RE Resource 95 by 2050,v6.2nei_mid,95% by 2050,0.6236422599087449
AR,Electrification,v6.2jedi_high,NNP,1.2444626183963032
AR,Electrification,v6.2jedi_low,NNP,1.3540063378898877
AR,Electrification,v6.2jedi_mid,NNP,1.260789149896397
AR,Electrification,v6.2nei_high,NNP,1.1219186763840183
AR,Electrification,v6.2nei_low,NNP,1.2100063987074354
AR,Electrification,v6.2nei_mid,NNP,1.1350473795167348
AR,Electrification 95 by 2035,v6.2jedi_high,95% by 2035,1.740962926480678
AR,Electrification 95 by 2035,v6.2jedi_low,95% by 2035,1.9534225772256015
AR,Electrification 95 by 2035,v6.2jedi_mid,95% by 2035,1.7874617653843616
AR,Electrification 95 by 2035,v6.2nei_high,95% by 2035,1.521161067976515
AR,Electrification 95 by 2035,v6.2nei_low,95% by 2035,1.6920050144269028
AR,Electrification 95 by 2035,v6.2nei_mid,95% by 2035,1.558551909558966
